STATISTIC,Statistic Label,TLIST(A1),Year,C01885V02316,Month of Year,UNIT,VALUE
ROA17C6,All Killed and Injured Casualties,2015,2015,3,March,Number,654
ROA17C6,All Killed and Injured Casualties,2015,2015,4,April,Number,542
ROA17C6,All Killed and Injured Casualties,2015,2015,5,May,Number,702
ROA17C6,All Killed and Injured Casualties,2015,2015,6,June,Number,659
ROA17C6,All Killed and Injured Casualties,2015,2015,7,July,Number,686
ROA17C6,All Killed and Injured Casualties,2015,2015,8,August,Number,690
ROA17C6,All Killed and Injured Casualties,2015,2015,9,September,Number,705
ROA17C6,All Killed and Injured Casualties,2015,2015,10,October,Number,676
ROA17C6,All Killed and Injured Casualties,2015,2015,11,November,Number,682
ROA17C6,All Killed and Injured Casualties,2015,2015,12,December,Number,747
ROA17C6,All Killed and Injured Casualties,2016,2016,-,All months,Number,7896
ROA17C6,All Killed and Injured Casualties,2016,2016,1,January,Number,711
ROA17C6,All Killed and Injured Casualties,2016,2016,2,February,Number,620
ROA17C6,All Killed and Injured Casualties,2016,2016,3,March,Number,614
ROA17C6,All Killed and Injured Casualties,2016,2016,4,April,Number,544
ROA17C6,All Killed and Injured Casualties,2016,2016,5,May,Number,642
ROA17C6,All Killed and Injured Casualties,2016,2016,6,June,Number,654
ROA17C6,All Killed and Injured Casualties,2016,2016,7,July,Number,743
ROA17C6,All Killed and Injured Casualties,2016,2016,8,August,Number,639
ROA17C6,All Killed and Injured Casualties,2016,2016,9,September,Number,738
ROA17C6,All Killed and Injured Casualties,2016,2016,10,October,Number,638
ROA17C6,All Killed and Injured Casualties,2016,2016,11,November,Number,659
ROA17C6,All Killed and Injured Casualties,2016,2016,12,December,Number,694
ROA17C6,All Killed and Injured Casualties,2017,2017,-,All months,Number,7934
ROA17C6,All Killed and Injured Casualties,2017,2017,1,January,Number,592
ROA17C6,All Killed and Injured Casualties,2017,2017,2,February,Number,533
ROA17C6,All Killed and Injured Casualties,2017,2017,3,March,Number,692
ROA17C6,All Killed and Injured Casualties,2017,2017,4,April,Number,543
ROA17C6,All Killed and Injured Casualties,2017,2017,5,May,Number,712
ROA17C6,All Killed and Injured Casualties,2017,2017,6,June,Number,637
ROA17C6,All Killed and Injured Casualties,2017,2017,7,July,Number,671
ROA17C6,All Killed and Injured Casualties,2017,2017,8,August,Number,645
ROA17C6,All Killed and Injured Casualties,2017,2017,9,September,Number,711
ROA17C6,All Killed and Injured Casualties,2017,2017,10,October,Number,647
ROA17C6,All Killed and Injured Casualties,2017,2017,11,November,Number,819
ROA17C6,All Killed and Injured Casualties,2017,2017,12,December,Number,732
ROA17C6,All Killed and Injured Casualties,2018,2018,-,All months,Number,8150
ROA17C6,All Killed and Injured Casualties,2018,2018,1,January,Number,610
ROA17C6,All Killed and Injured Casualties,2018,2018,2,February,Number,585
ROA17C6,All Killed and Injured Casualties,2018,2018,3,March,Number,609
ROA17C6,All Killed and Injured Casualties,2018,2018,4,April,Number,619
ROA17C6,All Killed and Injured Casualties,2018,2018,5,May,Number,737
ROA17C6,All Killed and Injured Casualties,2018,2018,6,June,Number,722
ROA17C6,All Killed and Injured Casualties,2018,2018,7,July,Number,738
ROA17C6,All Killed and Injured Casualties,2018,2018,8,August,Number,646
ROA17C6,All Killed and Injured Casualties,2018,2018,9,September,Number,695
ROA17C6,All Killed and Injured Casualties,2018,2018,10,October,Number,732
ROA17C6,All Killed and Injured Casualties,2018,2018,11,November,Number,737
ROA17C6,All Killed and Injured Casualties,2018,2018,12,December,Number,720
ROA17C6,All Killed and Injured Casualties,2019,2019,-,All months,Number,7719
ROA17C6,All Killed and Injured Casualties,2019,2019,1,January,Number,639
ROA17C6,All Killed and Injured Casualties,2019,2019,2,February,Number,520
ROA17C6,All Killed and Injured Casualties,2019,2019,3,March,Number,655
ROA17C6,All Killed and Injured Casualties,2019,2019,4,April,Number,535
ROA17C6,All Killed and Injured Casualties,2019,2019,5,May,Number,627
ROA17C6,All Killed and Injured Casualties,2019,2019,6,June,Number,658
ROA17C6,All Killed and Injured Casualties,2019,2019,7,July,Number,688
ROA17C6,All Killed and Injured Casualties,2019,2019,8,August,Number,661
ROA17C6,All Killed and Injured Casualties,2019,2019,9,September,Number,737
ROA17C6,All Killed and Injured Casualties,2019,2019,10,October,Number,689
ROA17C6,All Killed and Injured Casualties,2019,2019,11,November,Number,702
ROA17C6,All Killed and Injured Casualties,2019,2019,12,December,Number,608
ROA17C6,All Killed and Injured Casualties,2020,2020,-,All months,Number,5743
ROA17C6,All Killed and Injured Casualties,2020,2020,1,January,Number,668
ROA17C6,All Killed and Injured Casualties,2020,2020,2,February,Number,573
ROA17C6,All Killed and Injured Casualties,2020,2020,3,March,Number,363
ROA17C6,All Killed and Injured Casualties,2020,2020,4,April,Number,166
ROA17C6,All Killed and Injured Casualties,2020,2020,5,May,Number,282
ROA17C6,All Killed and Injured Casualties,2020,2020,6,June,Number,393
ROA17C6,All Killed and Injured Casualties,2020,2020,7,July,Number,532
ROA17C6,All Killed and Injured Casualties,2020,2020,8,August,Number,549
ROA17C6,All Killed and Injured Casualties,2020,2020,9,September,Number,580
ROA17C6,All Killed and Injured Casualties,2020,2020,10,October,Number,513
ROA17C6,All Killed and Injured Casualties,2020,2020,11,November,Number,487
ROA17C6,All Killed and Injured Casualties,2020,2020,12,December,Number,
ROA17C6,All Killed and Injured Casualties,2021,2021,-,All months,Number,6332
ROA17C6,All Killed and Injured Casualties,2021,2021,1,January,Number,285
ROA17C6,All Killed and Injured Casualties,2021,2021,2,February,Number,319
ROA17C6,All Killed and Injured Casualties,2021,2021,3,March,Number,370
ROA17C6,All Killed and Injured Casualties,2021,2021,4,April,Number,444
ROA17C6,All Killed and Injured Casualties,2021,2021,5,May,Number,532
ROA17C6,All Killed and Injured Casualties,2021,2021,6,June,Number,575
ROA17C6,All Killed and Injured Casualties,2021,2021,7,July,Number,627
ROA17C6,All Killed and Injured Casualties,2021,2021,8,August,Number,610
ROA17C6,All Killed and Injured Casualties,2021,2021,9,September,Number,669
ROA17C6,All Killed and Injured Casualties,2021,2021,10,October,Number,655
ROA17C6,All Killed and Injured Casualties,2021,2021,11,November,Number,566
ROA17C6,All Killed and Injured Casualties,2021,2021,12,December,Number,680
ROA17C6,All Killed and Injured Casualties,2022,2022,-,All months,Number,7511
ROA17C6,All Killed and Injured Casualties,2022,2022,1,January,Number,518
ROA17C6,All Killed and Injured Casualties,2022,2022,2,February,Number,552
ROA17C6,All Killed and Injured Casualties,2022,2022,3,March,Number,631
ROA17C6,All Killed and Injured Casualties,2022,2022,4,April,Number,603
ROA17C6,All Killed and Injured Casualties,2022,2022,5,May,Number,683
ROA17C6,All Killed and Injured Casualties,2022,2022,6,June,Number,610
ROA17C6,All Killed and Injured Casualties,2022,2022,7,July,Number,605
ROA17C6,All Killed and Injured Casualties,2022,2022,8,August,Number,693
ROA17C6,All Killed and Injured Casualties,2022,2022,9,September,Number,682
ROA17C6,All Killed and Injured Casualties,2022,2022,10,October,Number,696
ROA17C6,All Killed and Injured Casualties,2022,2022,11,November,Number,703
ROA17C6,All Killed and Injured Casualties,2022,2022,12,December,Number,535
ROA17C6,All Killed and Injured Casualties,2023,2023,-,All months,Number,7128
ROA17C6,All Killed and Injured Casualties,2023,2023,1,January,Number,562
ROA17C6,All Killed and Injured Casualties,2023,2023,2,February,Number,498
ROA17C6,All Killed and Injured Casualties,2023,2023,3,March,Number,576
ROA17C6,All Killed and Injured Casualties,2023,2023,4,April,Number,568
ROA17C6,All Killed and Injured Casualties,2023,2023,5,May,Number,625
ROA17C6,All Killed and Injured Casualties,2023,2023,6,June,Number,628
ROA17C6,All Killed and Injured Casualties,2023,2023,7,July,Number,680
ROA17C6,All Killed and Injured Casualties,2023,2023,8,August,Number,601
ROA17C6,All Killed and Injured Casualties,2023,2023,9,September,Number,591
ROA17C6,All Killed and Injured Casualties,2023,2023,10,October,Number,603
ROA17C6,All Killed and Injured Casualties,2023,2023,11,November,Number,608
ROA17C6,All Killed and Injured Casualties,2023,2023,12,December,Number,588
